ingredient,plant_dominant,novel_inclusive,marine_dominant
bsf-meal,0,0.05,0
canola-oil,0.18,0.15,0
chicken-protein-concentrate,0,0.1,0
coconut-oil,0.01,0.02,0
corn-gluten-meal,0.007,0.08,0.04
faba-beans,0.036,0,0.02
fishmeal-forage,0.088,0,0.32
fishmeal-trimmings,0.033,0.05,0
fish-oil-forage,0.084,0.02,0.23
fish-oil-trimmings,0.02,0.05,0
guar-meal,0.043,0,0
krill-meal,0.004,0.02,0
linseed-oil,0.013,0.03,0
methanobacterial-meal,0,0.07,0
pea-flour,0.025,0,0
pea-protein-concentrate,0.014,0.05,0
soybean-meal,0,0,0.17
soybean-oil,0.004,0.02,0
soy-protein-concentrate,0.209,0.15,0
spirulina-meal,0,0.07,0
sunflower-meal,0.034,0,0
wheat,0.065,0,0.07
wheat-gluten,0.098,0,0.15
microingredients,0.041,,
yeast-meal,0,0.07,0
