ingredient,protein,lipid,ash,carb,prop_P,protein_digestibility,lipid_digestibility,carb_digestibility,P_digestibility
bsf-meal,0.57,0.12,0.13,0.19,0.08,0.72,0.96,0.41,0.97
canola-oil,0,1,0,0,0,0,0.96,0,0
chicken-protein-concentrate,0.88,0.01,0.06,0.05,0.01,0.88,0.96,0.88,1
coconut-oil,0,1,0,0,0,0,0.96,0,0
corn-gluten-meal,0.68,0.07,0.02,0.24,0,0.94,0.96,0.83,0.09
faba-beans,0.3,0.02,0.04,0.65,0.01,0.86,0.96,0.6,0
fishmeal-forage,0.75,0.1,0.15,0,0.02,0.9,0.96,0,0.51
fishmeal-trimmings,0.68,0.1,0.19,0.03,0.03,0.88,0.96,0.38,0.38
fish-oil-forage,0,1,0,0,0,0,0.96,0,0
fish-oil-trimmings,0,1,0,0,0,0,0.96,0,0
guar-meal,0.56,0.05,0.05,0.34,0.01,0.63,0.96,0.65,0.4
krill-meal,0.62,0.09,0.15,0.13,0.01,0.88,0.96,0.55,1
linseed-oil,0,1,0,0,0,0,0.96,0,0
methanobacterial-meal,0.75,0.11,0.07,0.07,0.02,0.8,0.96,0.68,1
pea-flour,0.23,0.01,0.31,0.45,0,0.8,0.96,0.58,0.43
pea-protein-concentrate,0.84,0.05,0.04,0.07,0,0.88,0.96,0.77,0.55
soybean-meal,0.53,0.02,0.07,0.39,0.01,0.86,0.96,0.82,0.41
soybean-oil,0,1,0,0,0,0,0.96,0,0
soy-protein-concentrate,0.58,0.02,0.07,0.33,0,0.91,0.96,0.68,0.35
spirulina-meal,0.64,0.06,0.09,0.21,0.01,0.81,0.96,0.72,0.97
sunflower-meal,0.36,0.1,0.07,0.48,0.01,0.87,0.96,0.61,0.15
wheat,0.13,0.02,0.02,0.84,0,0.9,0.96,0.8,0.35
wheat-gluten,0.85,0.02,0.01,0.12,0,0.94,0.96,0.86,0.77
yeast-meal,0.48,0.04,0.07,0.41,0.01,0.82,0.96,0.7,1
